UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,Robot-01,M,298.1,308.6,1550,42.1,120,0,0,0,0,0,0
2,Robot-01,M,298.4,309.2,1540,43.0,132,0,0,0,0,0,0
3,Conveyor-01,L,300.1,311.8,1420,51.4,205,1,1,0,0,0,0
4,Conveyor-01,L,300.5,312.3,1408,52.7,210,1,1,0,0,0,0
5,Press-01,H,304.2,316.8,1280,64.9,180,1,0,0,0,1,0
6,Press-01,H,304.4,317.5,1270,66.0,184,1,0,0,0,1,0
7,Vision-02,M,297.2,306.5,1605,35.4,88,0,0,0,0,0,0
8,Vision-02,M,297.4,306.7,1610,35.1,90,0,0,0,0,0,0
9,Pump-07,L,299.0,309.0,1495,39.2,175,0,0,0,0,0,0
10,Pump-07,L,299.1,309.2,1492,39.0,178,0,0,0,0,0,0
11,Robot-01,M,301.0,313.7,1535,47.6,198,1,0,1,0,0,0
12,Robot-01,M,300.8,311.0,1532,45.0,199,0,0,0,0,0,0
